ObjID	dusty_mass	dust_free_mass	star_light_mass	color(u-r)
587722982300057611	9.615	9.074	9.659	1.744
587722983364559059	8.676	8.238	10.076	1.177
587722982300909965	9.807	8.174	9.734	1.738
587729772607045903	9.872	8.059	9.936	2.156
587722982815760400	9.174	8.454	9.964	1.530
587725041704435890	8.460	8.278	9.574	1.065
587722982816350331	8.635	7.983	10.019	1.413
587725041704370302	8.803	8.357	9.477	1.602
587722982815105144	8.856	8.245	9.338	1.283
587729773146538334	8.118	8.724	8.953	1.254
587722982817267760	8.417	6.975	9.783	1.007
587725041703452810	9.036	7.785	10.018	1.569
587722982815170684	9.594	9.089	9.870	1.844
587729773680329071	7.878	7.993	9.758	0.965
587722982817988697	9.013	8.049	9.769	1.605
587725041702404300	8.617	7.864	9.327	1.558
587729773682688121	7.959	7.789	9.559	1.690
587722982821003455	9.827	9.383	9.906	1.744
587725041702404112	10.004	8.480	10.078	2.251
587722982815957116	9.294	8.300	9.157	1.445
587729773682884901	7.812	9.224	9.900	5.983
587725041702273198	9.222	8.703	9.585	1.546
587729773685440676	6.746	8.643	8.912	0.751
587722982822379690	8.945	8.060	9.915	1.445
587725041701748796	8.186	8.543	10.115	0.896
587729774754267374	8.336	8.373	9.815	1.535
587722982823952463	9.085	8.746	9.263	1.511
587725041700700367	8.439	8.451	9.694	1.370
587729774754529382	8.651	8.230	9.789	2.101
587722982824018038	8.834	8.799	9.911	1.392
587725041699717144	10.523	7.219	10.154	2.309
587729776369795290	7.020	8.368	7.552	1.073
587722982825197604	8.786	7.670	9.549	1.443
